Mã trạm;Chỉ số AQI;Vị trí;Tên trạm;Url;Chất ô nhiễm chủ đạo;CO;Sương;Độ ẩm;NO2;O3;Áp suất;Bụi PM10;Bụi PM2.5;SO2;Nhiệt độ;Tốc độ gió;Thời gian cập nhật;Múi giờ;Trạng thái cảnh báo;Mức độ cảnh báo;Column1;_1;_2;_3
8767;102.00;10.782978,106.700711;Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh);https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate;pm25;-;0;8300;-;-;1,009.00;0.00;102.00;-;2700;360;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
8688;221.00;21.0811211,105.8180306;United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội);https://aqicn.org/city/vietnam/hanoi/unis;aqi;-;0;7700;-;-;1,015.00;0.00;-;-;1800;150;21/01/2021 20:00;+07:00;#NAME?;#NAME?;;;;
8641;281.00;21.0215063,105.8188748;Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội);https://aqicn.org/city/vietnam/hanoi/us-embassy;pm25;0.30;0;7700;8.70;0.90;1,015.00;0.00;281.00;2.10;1800;150;21/01/2021 20:00;+07:00;#NAME?;#NAME?;;;;
13012;36.00;13.998599,107.996482;Gia Lai/phường Thống Nhất - Pleiku, Vietnam;https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku;pm25;3.00;0;6020;6.00;9.00;923.70;29.00;36.00;1.00;2430;100;21/01/2021 20:00;+07:00;#NAME?;#NAME?;;;;
12488;68.00;16.46226,107.596351;Thừa Thiên Huế/83 Hùng Vương, Vietnam;https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong;pm25;2.00;0;8800;-;-;1,015.00;52.00;68.00;-;2100;100;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13251;217.00;21.04975,105.74187;Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem;pm25;12.00;0;7700;65.00;1.00;1,015.00;194.00;217.00;2.00;1800;150;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
12976;195.00;21.1137452,105.9268934;Bắc Ninh/Châu Khê, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/chau-khe;pm25;8.00;0;7700;17.00;23.00;1,015.00;119.00;195.00;3.00;1800;150;21/01/2021 20:00;+07:00;#NAME?;#NAME?;;;;
13250;168.00;22.3221386,104.1214227;Lào Cai/KCN TALOONG1, Vietnam;https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1;pm25;37.00;0;7030;2.00;1.00;1,003.20;65.00;168.00;17.00;1850;100;21/01/2021 20:00;+07:00;#NAME?;#NAME?;;;;
5507;48.00;20.9416,107.1158;Ha Long, Vietnam (Tp Hạ Long);https://aqicn.org/city/vietnam/ha-long;pm25;-;0;9570;11.00;39.00;1,001.00;25.00;48.00;-;1700;200;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
11778;18.00;21.0357507,106.7641068;Quảng Ninh/UBND TP Uông Bí, Vietnam;https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi;pm25;5.00;0;9750;5.00;-;1,002.00;12.00;18.00;3.00;1540;100;21/01/2021 5:00;+07:00;#NAME?;#NAME?;;;;
12958;251.00;21.1232473,106.2883295;Bắc Ninh/Phong Cốc, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/phong-coc;pm25;7.00;0;7700;52.00;2.00;1,015.00;155.00;251.00;6.00;1800;150;21/01/2021 20:00;+07:00;#NAME?;#NAME?;;;;
12957;315.00;21.0272212,106.0342099;Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh;pm25;7.00;0;7700;48.00;-;1,015.00;205.00;315.00;12.00;1800;150;21/01/2021 20:00;+07:00;#NAME?;#NAME?;;;;
13015;224.00;21.03982,105.84726;Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam;https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma;pm25;61.00;0;7950;80.00;-;1,015.50;185.00;224.00;-;1800;120;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13018;177.00;20.98832,105.854897;Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai;pm25;20.00;0;7950;42.00;-;1,015.50;112.00;177.00;-;1800;120;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13019;179.00;21.01994,105.77056;Hà Nội/UBND P. Mỹ Đình I, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i;pm25;14.00;0;7950;47.00;-;1,015.50;122.00;179.00;-;1800;120;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13026;214.00;21.01525,105.80013;Hà Nội/Chi cục BVMT, Vietnam;https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt;pm25;19.00;0;7700;36.00;1.00;1,015.00;149.00;214.00;1.00;1800;120;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
1584;0.00;16.074,108.217;Da Nang, Vietnam (TP Đà Nẵng);https://aqicn.org/city/vietnam/da-nang;;3.00;0;8800;1.00;35.00;1,014.00;-;-;5.00;2100;460;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
1585;0.00;12.284358,109.192524;Nha Trang, Vietnam;https://aqicn.org/city/vietnam/nha-trang;;7.00;0;8300;13.00;13.00;1,013.00;-;-;3.00;2300;510;21/01/2021 20:00;+07:00;#NAME?;#NAME?;;;;
13017;213.00;21.02022,105.81232;Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam;https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong;pm25;31.00;0;7950;34.00;-;1,015.50;175.00;213.00;-;1800;120;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13020;166.00;21.00577,105.74842;Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem;pm25;13.00;0;7950;33.00;-;1,015.50;105.00;166.00;-;1800;120;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13013;221.00;21.05121,105.78232;Hà Nội/36A Phạm Văn Đồng, Vietnam;https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong;pm25;38.00;0;7950;31.00;-;1,015.50;177.00;221.00;-;1800;120;21/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13014;191.00;21.0072,105.83572;Hà Nội/Mầm non Kim Liên, Vietnam;https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien;pm25;17.00;0;8200;-;-;1,016.00;130.00;191.00;-;1800;100;21/01/2021 20:00;+07:00;#NAME?;#NAME?;;;;
13252;213.00;22.6782,106.245;Cao Bằng/Trạm khí TTQT, Vietnam;http://cem.gov.vn/;pm25;-;0;7780;-;1.00;986.30;204.00;213.00;2.00;1720;200;21/01/2021 21:00;+07:00;#NAME?;#NAME?;;;;
8767;122.00;10.782978,106.700711;Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh);https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate;pm25;-;0;5650;-;-;1,008.50;0.00;122.00;-;3050;250;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
8688;192.00;21.0811211,105.8180306;United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội);https://aqicn.org/city/vietnam/hanoi/unis;aqi;-;0;5300;-;-;1,015.00;0.00;-;-;2200;200;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
8641;189.00;21.0215063,105.8188748;Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội);https://aqicn.org/city/vietnam/hanoi/us-embassy;pm25;0.10;0;5100;8.70;4.90;1,014.50;0.00;189.00;3.10;2250;230;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13012;18.00;13.998599,107.996482;Gia Lai/phường Thống Nhất - Pleiku, Vietnam;https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku;pm10;4.00;0;6430;13.00;20.00;926.20;18.00;17.00;1.00;2300;200;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
12488;-;16.46226,107.596351;Thừa Thiên Huế/83 Hùng Vương, Vietnam;https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong;;2.00;0;9300;-;-;1,015.50;52.00;68.00;-;2000;330;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13251;189.00;21.04975,105.74187;Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem;pm25;12.00;0;5800;42.00;1.00;1,016.00;156.00;189.00;2.00;2200;200;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
12976;164.00;21.1137452,105.9268934;Bắc Ninh/Châu Khê, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/chau-khe;pm25;5.00;0;5300;14.00;23.00;1,015.00;88.00;164.00;17.00;2200;200;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13250;131.00;22.3221386,104.1214227;Lào Cai/KCN TALOONG1, Vietnam;https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1;pm25;38.00;0;9320;3.00;1.00;1,007.10;24.00;131.00;22.00;1670;100;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
5507;49.00;20.9416,107.1158;Ha Long, Vietnam (Tp Hạ Long);https://aqicn.org/city/vietnam/ha-long;pm25;-;0;8620;14.00;38.00;1,001.30;26.00;49.00;-;2130;100;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
11778;38.00;21.0357507,106.7641068;Quảng Ninh/UBND TP Uông Bí, Vietnam;https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi;pm25;6.00;0;8620;14.00;-;1,001.30;24.00;38.00;24.00;2130;100;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
12958;235.00;21.1232473,106.2883295;Bắc Ninh/Phong Cốc, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/phong-coc;pm25;5.00;0;5300;25.00;30.00;1,015.00;138.00;235.00;19.00;2200;200;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
12957;252.00;21.0272212,106.0342099;Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh;pm25;2.00;0;5300;15.00;-;1,015.00;157.00;252.00;15.00;2200;200;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13015;191.00;21.03982,105.84726;Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam;https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma;pm25;48.00;0;5800;47.00;-;1,016.00;157.00;191.00;-;2200;200;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13018;161.00;20.98832,105.854897;Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai;pm25;9.00;0;5300;31.00;-;1,015.00;90.00;161.00;-;2200;200;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13019;164.00;21.01994,105.77056;Hà Nội/UBND P. Mỹ Đình I, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i;pm25;7.00;0;5800;30.00;-;1,016.00;114.00;164.00;-;2200;200;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13026;183.00;21.01525,105.80013;Hà Nội/Chi cục BVMT, Vietnam;https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt;pm25;9.00;0;5800;20.00;2.00;1,016.00;126.00;183.00;1.00;2200;200;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
1584;0.00;16.074,108.217;Da Nang, Vietnam (TP Đà Nẵng);https://aqicn.org/city/vietnam/da-nang;;2.00;0;7800;1.00;33.00;1,012.50;-;-;6.00;2250;790;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
1585;0.00;12.284358,109.192524;Nha Trang, Vietnam;https://aqicn.org/city/vietnam/nha-trang;;2.00;0;6500;4.00;24.00;1,011.00;-;-;3.00;2700;660;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13017;186.00;21.02022,105.81232;Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam;https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong;pm25;14.00;0;5800;25.00;-;1,016.00;151.00;186.00;-;2200;200;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13020;158.00;21.00577,105.74842;Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem;pm25;7.00;0;5300;20.00;-;1,015.00;94.00;158.00;-;2200;200;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13013;188.00;21.05121,105.78232;Hà Nội/36A Phạm Văn Đồng, Vietnam;https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong;pm25;17.00;0;5300;37.00;-;1,015.00;152.00;188.00;-;2200;200;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13014;159.00;21.0072,105.83572;Hà Nội/Mầm non Kim Liên, Vietnam;https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien;pm25;9.00;0;5800;-;-;1,016.00;95.00;159.00;-;2200;200;22/01/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13252;212.00;22.6782,106.245;Cao Bằng/Trạm khí TTQT, Vietnam;http://cem.gov.vn/;pm10;-;0;8360;-;1.00;989.40;212.00;208.00;2.00;1710;100;22/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
8767;114.00;10.782978,106.700711;Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh);https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate;pm25;-;0;4900;-;-;1,007.00;0.00;114.00;-;3200;150;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
8688;180.00;21.0811211,105.8180306;United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội);https://aqicn.org/city/vietnam/hanoi/unis;aqi;-;0;4900;-;-;1,013.00;0.00;-;-;2300;300;23/01/2021 14:00;+07:00;#NAME?;#NAME?;;;;
8641;189.00;21.0215063,105.8188748;Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội);https://aqicn.org/city/vietnam/hanoi/us-embassy;pm25;0.20;0;4900;8.70;3.70;1,013.00;0.00;189.00;4.60;2300;300;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13012;26.00;13.998599,107.996482;Gia Lai/phường Thống Nhất - Pleiku, Vietnam;https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku;pm25;4.00;0;6210;12.00;20.00;924.20;25.00;26.00;1.00;2580;200;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
12488;-;16.46226,107.596351;Thừa Thiên Huế/83 Hùng Vương, Vietnam;https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong;;2.00;0;7050;-;-;1,013.50;52.00;68.00;-;2250;410;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
13251;169.00;21.04975,105.74187;Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem;pm25;11.00;0;4900;28.00;2.00;1,013.50;123.00;169.00;2.00;2300;330;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
12976;176.00;21.1137452,105.9268934;Bắc Ninh/Châu Khê, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/chau-khe;pm25;9.00;0;6800;16.00;24.00;1,017.00;102.00;176.00;4.00;1900;50;23/01/2021 11:00;+07:00;#NAME?;#NAME?;;;;
13250;151.00;22.3221386,104.1214227;Lào Cai/KCN TALOONG1, Vietnam;https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1;pm25;40.00;0;7310;2.00;1.00;1,002.20;55.00;151.00;150.00;2090;200;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
5507;65.00;20.9416,107.1158;Ha Long, Vietnam (Tp Hạ Long);https://aqicn.org/city/vietnam/ha-long;pm25;-;0;8130;9.00;61.00;1,000.40;34.00;65.00;-;2370;200;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
11778;51.00;21.0357507,106.7641068;Quảng Ninh/UBND TP Uông Bí, Vietnam;https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi;pm25;7.00;0;8130;8.00;-;1,000.40;29.00;51.00;14.00;2370;200;23/01/2021 14:00;+07:00;#NAME?;#NAME?;;;;
12958;226.00;21.1232473,106.2883295;Bắc Ninh/Phong Cốc, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/phong-coc;pm25;6.00;0;4900;20.00;41.00;1,012.00;136.00;226.00;6.00;2300;300;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
12957;214.00;21.0272212,106.0342099;Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh;pm25;1.00;0;4900;13.00;-;1,012.00;128.00;214.00;16.00;2300;300;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
13015;170.00;21.03982,105.84726;Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam;https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma;pm25;40.00;0;4900;37.00;-;1,013.00;130.00;170.00;-;2300;300;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13018;149.00;20.98832,105.854897;Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai;pm25;7.00;0;4900;33.00;-;1,013.50;81.00;149.00;-;2300;330;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13019;157.00;21.01994,105.77056;Hà Nội/UBND P. Mỹ Đình I, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i;pm25;9.00;0;4900;35.00;-;1,013.00;92.00;157.00;-;2300;300;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13026;160.00;21.01525,105.80013;Hà Nội/Chi cục BVMT, Vietnam;https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt;pm25;10.00;0;4900;23.00;4.00;1,013.50;106.00;160.00;1.00;2300;330;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
1584;-;16.074,108.217;Da Nang, Vietnam (TP Đà Nẵng);https://aqicn.org/city/vietnam/da-nang;;3.00;0;6850;1.00;45.00;1,012.00;-;-;6.00;2350;540;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
1585;-;12.284358,109.192524;Nha Trang, Vietnam;https://aqicn.org/city/vietnam/nha-trang;;2.00;0;6900;2.00;32.00;1,011.00;-;-;3.00;2600;920;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
13017;167.00;21.02022,105.81232;Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam;https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong;pm25;13.00;0;4900;20.00;-;1,013.00;123.00;167.00;-;2300;300;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13020;151.00;21.00577,105.74842;Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem;pm25;12.00;0;4900;23.00;-;1,013.00;83.00;151.00;-;2300;300;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13013;168.00;21.05121,105.78232;Hà Nội/36A Phạm Văn Đồng, Vietnam;https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong;pm25;11.00;0;4900;31.00;-;1,013.50;121.00;168.00;-;2300;330;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13014;155.00;21.0072,105.83572;Hà Nội/Mầm non Kim Liên, Vietnam;https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien;pm25;11.00;0;4900;-;-;1,013.00;89.00;155.00;-;2300;300;23/01/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13252;340.00;22.6782,106.245;Cao Bằng/Trạm khí TTQT, Vietnam;http://cem.gov.vn/;pm10;-;0;6890;-;1.00;985.90;340.00;194.00;2.00;1800;100;23/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
8767;80.00;10.782978,106.700711;Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh);https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate;pm25;-;0;7400;-;-;1,009.00;0.00;80.00;-;2700;410;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
8688;161.00;21.0811211,105.8180306;United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội);https://aqicn.org/city/vietnam/hanoi/unis;aqi;-;0;7700;-;-;1,015.00;0.00;-;-;2100;300;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
8641;139.00;21.0215063,105.8188748;Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội);https://aqicn.org/city/vietnam/hanoi/us-embassy;pm25;0.20;0;7700;12.80;0.90;1,015.00;0.00;139.00;1.60;2100;300;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13012;70.00;13.998599,107.996482;Gia Lai/phường Thống Nhất - Pleiku, Vietnam;https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku;pm25;6.00;0;4340;17.00;22.00;923.40;53.00;70.00;2.00;2900;200;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
12488;29.00;16.46226,107.596351;Thừa Thiên Huế/83 Hùng Vương, Vietnam;https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong;pm25;1.00;0;8800;-;-;1,014.50;24.00;29.00;-;2200;280;25/01/2021 15:00;+07:00;#NAME?;#NAME?;;;;
13251;147.00;21.04975,105.74187;Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem;pm25;23.00;0;7700;23.00;1.00;1,015.00;95.00;147.00;2.00;2100;380;25/01/2021 18:00;+07:00;#NAME?;#NAME?;;;;
12976;176.00;21.1137452,105.9268934;Bắc Ninh/Châu Khê, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/chau-khe;pm25;9.00;0;6800;16.00;24.00;1,017.00;102.00;176.00;4.00;1900;50;23/01/2021 11:00;+07:00;#NAME?;#NAME?;;;;
13250;127.00;22.3221386,104.1214227;Lào Cai/KCN TALOONG1, Vietnam;https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1;pm25;36.00;0;6180;2.00;1.00;1,001.10;56.00;127.00;23.00;2450;100;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
5507;32.00;20.9416,107.1158;Ha Long, Vietnam (Tp Hạ Long);https://aqicn.org/city/vietnam/ha-long;pm25;-;0;9570;18.00;16.00;1,002.00;17.00;32.00;-;1980;100;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
11778;11.00;21.0357507,106.7641068;Quảng Ninh/UBND TP Uông Bí, Vietnam;https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi;pm25;5.00;0;9570;29.00;-;1,002.00;7.00;11.00;7.00;1980;100;25/01/2021 18:00;+07:00;#NAME?;#NAME?;;;;
12958;137.00;21.1232473,106.2883295;Bắc Ninh/Phong Cốc, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/phong-coc;pm25;5.00;0;7700;46.00;3.00;1,015.00;91.00;137.00;3.00;2100;300;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
12957;116.00;21.0272212,106.0342099;Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh;pm25;4.00;0;7700;17.00;-;1,015.00;66.00;116.00;5.00;2100;380;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13015;150.00;21.03982,105.84726;Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam;https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma;pm25;51.00;0;7700;48.00;-;1,015.00;102.00;150.00;-;2100;380;25/01/2021 18:00;+07:00;#NAME?;#NAME?;;;;
13018;106.00;20.98832,105.854897;Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai;pm25;5.00;0;7700;11.00;-;1,015.00;66.00;106.00;-;2100;380;25/01/2021 18:00;+07:00;#NAME?;#NAME?;;;;
13019;132.00;21.01994,105.77056;Hà Nội/UBND P. Mỹ Đình I, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i;pm25;13.00;0;7700;26.00;-;1,015.00;77.00;132.00;-;2100;380;25/01/2021 18:00;+07:00;#NAME?;#NAME?;;;;
13026;145.00;21.01525,105.80013;Hà Nội/Chi cục BVMT, Vietnam;https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt;pm25;6.00;0;7700;15.00;2.00;1,015.00;84.00;145.00;1.00;2100;380;25/01/2021 18:00;+07:00;#NAME?;#NAME?;;;;
1584;-;16.074,108.217;Da Nang, Vietnam (TP Đà Nẵng);https://aqicn.org/city/vietnam/da-nang;;9.00;0;7800;1.00;18.00;1,014.00;-;-;6.00;2300;150;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
1585;-;12.284358,109.192524;Nha Trang, Vietnam;https://aqicn.org/city/vietnam/nha-trang;;2.00;0;7300;3.00;31.00;1,013.00;-;-;3.00;2400;510;25/01/2021 19:00;+07:00;#NAME?;#NAME?;;;;
13017;146.00;21.02022,105.81232;Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam;https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong;pm25;15.00;0;7700;24.00;-;1,015.00;102.00;146.00;-;2100;300;25/01/2021 18:00;+07:00;#NAME?;#NAME?;;;;
13020;108.00;21.00577,105.74842;Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem;pm25;9.00;0;7700;10.00;-;1,015.00;61.00;108.00;-;2100;380;25/01/2021 18:00;+07:00;#NAME?;#NAME?;;;;
13013;151.00;21.05121,105.78232;Hà Nội/36A Phạm Văn Đồng, Vietnam;https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong;pm25;17.00;0;7700;23.00;-;1,015.00;104.00;151.00;-;2100;380;25/01/2021 18:00;+07:00;#NAME?;#NAME?;;;;
