Mã trạm;Chỉ số AQI;Vị trí;Tên trạm;Url;Chất ô nhiễm chủ đạo;CO;Sương;Độ ẩm;NO2;O3;Áp suất;Bụi PM10;Bụi PM2.5;SO2;Nhiệt độ;Tốc độ gió;Thời gian cập nhật;Múi giờ;Trạng thái cảnh báo;Mức độ cảnh báo;Column1;_1;_2;_3
1584;-;16.074,108.217;Da Nang, Vietnam (TP Đà Nẵng);https://aqicn.org/city/vietnam/da-nang;;6.00;0;8200;1.00;24.00;1,015.00;-;-;6.00;2100;50;14/02/2021 20:00;+07:00;#NAME?;#NAME?;;;;
1585;-;12.284358,109.192524;Nha Trang, Vietnam;https://aqicn.org/city/vietnam/nha-trang;;6.00;0;7300;12.00;26.00;1,016.00;-;-;4.00;2200;610;14/02/2021 21:00;+07:00;#NAME?;#NAME?;;;;
13017;79.00;21.02022,105.81232;Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam;https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong;pm25;8.00;0;4600;12.00;-;1,013.00;57.00;79.00;-;2300;300;14/02/2021 18:00;+07:00;#NAME?;#NAME?;;;;
13020;50.00;21.00577,105.74842;Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem;pm25;5.00;0;4600;6.00;-;1,013.00;30.00;50.00;-;2300;300;14/02/2021 18:00;+07:00;#NAME?;#NAME?;;;;
13013;94.00;21.05121,105.78232;Hà Nội/36A Phạm Văn Đồng, Vietnam;https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong;pm25;6.00;0;4600;16.00;-;1,013.00;63.00;94.00;-;2300;300;14/02/2021 18:00;+07:00;#NAME?;#NAME?;;;;
13014;48.00;21.0072,105.83572;Hà Nội/Mầm non Kim Liên, Vietnam;https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien;pm25;5.00;0;4600;-;-;1,013.00;37.00;48.00;-;2300;300;14/02/2021 18:00;+07:00;#NAME?;#NAME?;;;;
13252;139.00;22.6782,106.245;Cao Bằng/Trạm khí TTQT, Vietnam;http://cem.gov.vn/;pm25;-;0;7350;-;3.00;984.80;124.00;139.00;-;2050;300;14/02/2021 21:00;+07:00;#NAME?;#NAME?;;;;
8767;74.00;10.782978,106.700711;Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh);https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate;pm25;-;2100;6200;-;-;1,010.00;-;74.00;-;2900;300;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
8688;132.00;21.0811211,105.8180306;United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội);https://aqicn.org/city/vietnam/hanoi/unis;aqi;-;1800;7800;-;-;1,013.00;-;-;-;2200;300;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
8641;144.00;21.0215063,105.8188748;Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội);https://aqicn.org/city/vietnam/hanoi/us-embassy;pm25;0.10;1800;7800;14.20;3.30;1,013.00;-;144.00;4.60;2200;300;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
13012;21.00;13.998599,107.996482;Gia Lai/phường Thống Nhất - Pleiku, Vietnam;https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku;pm25;3.00;1570;5700;7.00;32.00;924.70;15.00;21.00;1.00;2480;200;11/02/2021 16:00;+07:00;#NAME?;#NAME?;;;;
12488;42.00;16.46226,107.596351;Thừa Thiên Huế/83 Hùng Vương, Vietnam;https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong;pm10;1.00;1800;6500;-;-;1,014.00;42.00;28.00;-;2500;510;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
13251;105.00;21.04975,105.74187;Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem;pm25;7.00;1900;8800;26.00;1.00;1,014.50;73.00;105.00;2.00;2100;230;15/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
12976;47.00;21.1137452,105.9268934;Bắc Ninh/Châu Khê, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/chau-khe;pm25;2.00;1800;7800;4.00;24.00;1,013.00;28.00;47.00;2.00;2200;300;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
13250;148.00;22.3221386,104.1214227;Lào Cai/KCN TALOONG1, Vietnam;https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1;pm25;41.00;1700;6380;3.00;2.00;1,001.30;52.00;148.00;59.00;2430;300;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
5507;23.00;20.9416,107.1158;Ha Long, Vietnam (Tp Hạ Long);https://aqicn.org/city/vietnam/ha-long;pm25;-;1960;7880;-;48.00;1,000.80;12.00;23.00;-;2350;100;15/02/2021 13:00;+07:00;#NAME?;#NAME?;;;;
11778;6.00;21.0357507,106.7641068;Quảng Ninh/UBND TP Uông Bí, Vietnam;https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi;pm25;5.00;1960;7880;3.00;-;1,000.80;4.00;6.00;9.00;2350;100;15/02/2021 13:00;+07:00;#NAME?;#NAME?;;;;
12958;57.00;21.1232473,106.2883295;Bắc Ninh/Phong Cốc, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/phong-coc;pm25;2.00;1800;7800;2.00;32.00;1,013.00;34.00;57.00;3.00;2200;300;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
12957;-;21.0272212,106.0342099;Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh;;4.00;1800;7800;1.00;-;1,013.50;-;-;1.00;2200;250;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
13015;131.00;21.03982,105.84726;Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam;https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma;pm25;27.00;1900;8800;30.00;-;1,014.50;93.00;131.00;-;2100;230;15/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13018;87.00;20.98832,105.854897;Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai;pm25;4.00;1800;7800;8.00;-;1,014.00;54.00;87.00;-;2200;250;15/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13019;98.00;21.01994,105.77056;Hà Nội/UBND P. Mỹ Đình I, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i;pm25;4.00;1900;8800;26.00;-;1,014.50;64.00;98.00;-;2100;230;15/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13026;96.00;21.01525,105.80013;Hà Nội/Chi cục BVMT, Vietnam;https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt;pm25;5.00;1900;8800;29.00;3.00;1,014.50;60.00;96.00;1.00;2100;230;15/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
1584;-;16.074,108.217;Da Nang, Vietnam (TP Đà Nẵng);https://aqicn.org/city/vietnam/da-nang;;2.00;1750;6300;1.00;36.00;1,012.50;-;-;6.00;2500;480;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
1585;-;12.284358,109.192524;Nha Trang, Vietnam;https://aqicn.org/city/vietnam/nha-trang;;2.00;1700;5700;1.00;39.00;1,013.50;-;-;4.00;2600;770;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
13017;111.00;21.02022,105.81232;Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam;https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong;pm25;13.00;1900;8800;17.00;-;1,014.50;76.00;111.00;-;2100;230;15/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13020;94.00;21.00577,105.74842;Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem;pm25;5.00;1900;8800;10.00;-;1,014.50;54.00;94.00;-;2100;230;15/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13013;121.00;21.05121,105.78232;Hà Nội/36A Phạm Văn Đồng, Vietnam;https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong;pm25;16.00;1900;8800;22.00;-;1,014.50;85.00;121.00;-;2100;230;15/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13014;101.00;21.0072,105.83572;Hà Nội/Mầm non Kim Liên, Vietnam;https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien;pm25;6.00;1900;8800;-;-;1,014.50;57.00;101.00;-;2100;230;15/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13252;85.00;22.6782,106.245;Cao Bằng/Trạm khí TTQT, Vietnam;http://cem.gov.vn/;pm25;-;1510;6000;-;4.00;984.80;67.00;85.00;-;2330;100;15/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
8767;97.00;10.782978,106.700711;Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh);https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate;pm25;-;1650;4150;-;-;1,009.50;-;97.00;-;3100;120;16/02/2021 13:00;+07:00;#NAME?;#NAME?;;;;
8688;156.00;21.0811211,105.8180306;United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội);https://aqicn.org/city/vietnam/hanoi/unis;aqi;-;1700;8200;-;-;1,014.00;-;-;-;2000;250;16/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
8641;153.00;21.0215063,105.8188748;Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội);https://aqicn.org/city/vietnam/hanoi/us-embassy;pm25;0.10;1700;8200;12.40;4.10;1,014.00;-;153.00;4.60;2000;250;16/02/2021 13:00;+07:00;#NAME?;#NAME?;;;;
13012;35.00;13.998599,107.996482;Gia Lai/phường Thống Nhất - Pleiku, Vietnam;https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku;pm25;2.00;960;3090;5.00;38.00;924.50;24.00;35.00;1.00;2840;300;16/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
12488;53.00;16.46226,107.596351;Thừa Thiên Huế/83 Hùng Vương, Vietnam;https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong;pm10;1.00;1900;6900;-;-;1,013.50;53.00;39.00;-;2500;380;16/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
13251;-;21.04975,105.74187;Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem;pm25;5.00;1700;7700;20.00;1.00;1,015.00;53.00;56.00;1.00;2100;280;16/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
12976;-;21.1137452,105.9268934;Bắc Ninh/Châu Khê, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/chau-khe;pm25;2.00;1700;8200;6.00;24.00;1,014.00;38.00;63.00;3.00;2000;250;16/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
13250;119.00;22.3221386,104.1214227;Lào Cai/KCN TALOONG1, Vietnam;https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1;pm25;39.00;1750;6470;3.00;2.00;1,002.90;32.00;119.00;76.00;2460;200;16/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
5507;26.00;20.9416,107.1158;Ha Long, Vietnam (Tp Hạ Long);https://aqicn.org/city/vietnam/ha-long;pm25;-;1900;7960;-;43.00;1,001.70;14.00;26.00;-;2270;100;16/02/2021 13:00;+07:00;#NAME?;#NAME?;;;;
11778;5.00;21.0357507,106.7641068;Quảng Ninh/UBND TP Uông Bí, Vietnam;https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi;pm25;4.00;1900;7960;3.00;-;1,001.70;4.00;5.00;14.00;2270;100;16/02/2021 13:00;+07:00;#NAME?;#NAME?;;;;
12958;75.00;21.1232473,106.2883295;Bắc Ninh/Phong Cốc, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/phong-coc;pm25;3.00;1700;8200;7.00;25.00;1,014.00;49.00;75.00;5.00;2000;250;16/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
12957;-;21.0272212,106.0342099;Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam;https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh;;3.00;1700;8200;2.00;-;1,014.00;-;-;1.00;2000;250;16/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
13015;113.00;21.03982,105.84726;Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam;https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma;pm25;33.00;1700;8200;21.00;-;1,015.50;79.00;113.00;-;2000;330;16/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13018;88.00;20.98832,105.854897;Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai;pm25;3.00;1700;8200;9.00;-;1,015.50;59.00;88.00;-;2000;330;16/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13019;74.00;21.01994,105.77056;Hà Nội/UBND P. Mỹ Đình I, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i;pm25;5.00;1700;8200;17.00;-;1,015.50;50.00;74.00;-;2000;330;16/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13026;97.00;21.01525,105.80013;Hà Nội/Chi cục BVMT, Vietnam;https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt;pm25;3.00;1700;7700;33.00;2.00;1,015.00;56.00;97.00;1.00;2100;280;16/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
1584;-;16.074,108.217;Da Nang, Vietnam (TP Đà Nẵng);https://aqicn.org/city/vietnam/da-nang;;2.00;1750;5900;1.00;33.00;1,013.00;-;-;6.00;2600;380;16/02/2021 13:00;+07:00;#NAME?;#NAME?;;;;
1585;-;12.284358,109.192524;Nha Trang, Vietnam;https://aqicn.org/city/vietnam/nha-trang;;1.00;1800;5700;1.00;34.00;1,012.00;-;-;4.00;2700;560;16/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
13017;109.00;21.02022,105.81232;Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam;https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong;pm25;12.00;1700;7700;21.00;-;1,015.00;75.00;109.00;-;2100;280;16/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13020;98.00;21.00577,105.74842;Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam;https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem;pm25;5.00;1700;8200;6.00;-;1,015.50;63.00;98.00;-;2000;330;16/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13013;111.00;21.05121,105.78232;Hà Nội/36A Phạm Văn Đồng, Vietnam;https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong;pm25;2.00;1700;8200;25.00;-;1,015.50;69.00;111.00;-;2000;330;16/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13014;91.00;21.0072,105.83572;Hà Nội/Mầm non Kim Liên, Vietnam;https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien;pm25;5.00;1700;7700;-;-;1,015.00;53.00;91.00;-;2100;280;16/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13252;70.00;22.6782,106.245;Cao Bằng/Trạm khí TTQT, Vietnam;http://cem.gov.vn/;pm25;-;1710;6690;-;4.00;986.70;58.00;70.00;-;2360;100;16/02/2021 14:00;+07:00;#NAME?;#NAME?;;;;
8767;74.00;10.782978,106.700711;Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh);https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate;pm25;-;1500;3700;-;-;1,012.00;-;74.00;-;3100;150;17/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
8688;64.00;21.0811211,105.8180306;United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội);https://aqicn.org/city/vietnam/hanoi/unis;aqi;-;1000;4900;-;-;1,022.00;-;-;-;2100;360;17/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
8641;76.00;21.0215063,105.8188748;Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội);https://aqicn.org/city/vietnam/hanoi/us-embassy;pm25;0.10;1000;4900;7.40;7.80;1,021.50;-;76.00;4.10;2100;360;17/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
13012;37.00;13.998599,107.996482;Gia Lai/phường Thống Nhất - Pleiku, Vietnam;https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku;pm25;1.00;1140;4600;3.00;37.00;928.70;27.00;37.00;1.00;2370;300;17/02/2021 12:00;+07:00;#NAME?;#NAME?;;;;
12488;41.00;16.46226,107.596351;Thừa Thiên Huế/83 Hùng Vương, Vietnam;https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong;pm10;1.00;1850;6500;-;-;1,018.50;41.00;26.00;-;2550;280;17/02/2021 13:00;+07:00;#NAME?;#NAME?;;;;
